Picture_ID;Category;Description;SUMO_1;SUMO_2;SUMO_3;SUMO_4;SUMO_5;SUMO_6;SUMO_7;;;;;;;;;;;;;;;;;;
Objects_251_v;Objects;buttons;%Button+;%Box=;;;;;;;;;;;;;;;;;;;;;;;
Objects_252_h;Objects;objects;%CorpuscularObject=;%Wall=;;;;;;;;;;;;;;;;;;;;;;;
Objects_253_v;Objects;shoes;%Shoe=;%Grass=;;;;;;;;;;;;;;;;;;;;;;;
Objects_254_h;Objects;handwork;%Artifact+;%Tableware+;;;;;;;;;;;;;;;;;;;;;;;
Objects_255_v;Objects;shoes;%Shoe=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_256_h;Objects;sculptures;%Making+;%Rabbit=;%Window=;;;;;;;;;;;;;;;;;;;;;;
Objects_257_h;Objects;sculptures;%Making+;;;;;;;;;;;;;;;;;;;;;;;;
Objects_258_h;Objects;shoes;%Shoe=;%BoardOrBlock+;%Bag+;;;;;;;;;;;;;;;;;;;;;;
Objects_259_h;Objects;shoes;%Shoe=;%SubjectiveAssessmentAttribute+;;;;;;;;;;;;;;;;;;;;;;;
Objects_260_h;Objects;toy;%Toy=;%Keyboard=;;;;;;;;;;;;;;;;;;;;;;;
Objects_261_h;Objects;shoes;%Shoe=;%SubjectiveAssessmentAttribute+;;;;;;;;;;;;;;;;;;;;;;;
Objects_262_h;Objects;fountain;%Artifact+;%Building=;;;;;;;;;;;;;;;;;;;;;;;
Objects_263_h;Objects;handwork;%Artifact+;;;;;;;;;;;;;;;;;;;;;;;;
Objects_264_v;Objects;carousel;%Artifact+;;;;;;;;;;;;;;;;;;;;;;;;
Objects_265_h;Objects;handwork;%Artifact+;;;;;;;;;;;;;;;;;;;;;;;;
Objects_266_h;Objects;sculpture;%Making+;%Bull=;;;;;;;;;;;;;;;;;;;;;;;
Objects_267_v;Objects;shoes;%Shoe=;%Roadway=;;;;;;;;;;;;;;;;;;;;;;;
Objects_268_h;Objects;leaves;%PlantLeaf=;%Artifact+;;;;;;;;;;;;;;;;;;;;;;;
Objects_269_h;Objects;sculpture;%Making+;;;;;;;;;;;;;;;;;;;;;;;;
Objects_270_h;Objects;toys;%Toy=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_271_h;Objects;toys;%Toy=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_272_h;Objects;sculptures;%Making+;%Wood=;%Grass=;;;;;;;;;;;;;;;;;;;;;;
Objects_273_h;Objects;sculptures;%Making+;%Icon+;%Snowing=;;;;;;;;;;;;;;;;;;;;;;
Objects_274_h;Objects;car;%Automobile=;%Damaging=;;;;;;;;;;;;;;;;;;;;;;;
Objects_275_v;Objects;crashed car;%Automobile=;%Damaging+;;;;;;;;;;;;;;;;;;;;;;;
Objects_276_h;Objects;car;%Automobile=;%Snowing=;%Blue+;;;;;;;;;;;;;;;;;;;;;;
Objects_277_h;Objects;rusted car;%Automobile=;%Oxidation+;;;;;;;;;;;;;;;;;;;;;;;
Objects_278_h;Objects;bicycles;%Bicycle=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_279_h;Objects;bicycle;%Bicycle=;%Roadway=;;;;;;;;;;;;;;;;;;;;;;;
Objects_280_v;Objects;icicle;%Ice+;%Tire=;;;;;;;;;;;;;;;;;;;;;;;
Objects_281_h;Objects;car;%Automobile=;%TransportationDevice+;%Damaging=;;;;;;;;;;;;;;;;;;;;;;
Objects_282_h;Objects;rust;%CompoundSubstance+;%Automobile=;%Tire=;;;;;;;;;;;;;;;;;;;;;;
Objects_283_h;Objects;crashed car;%Automobile=;%Damaging+;%RailVehicle+;;;;;;;;;;;;;;;;;;;;;;
Objects_284_h;Objects;car;%Automobile=;%Snowing=;;;;;;;;;;;;;;;;;;;;;;;
Objects_285_h;Objects;crashed motorcycle;%Motorcycle=;%Damaging+;%StreamWaterArea=;;;;;;;;;;;;;;;;;;;;;;
Objects_286_h;Objects;rusted car;%Automobile=;%ChemicalDecomposition+;%Soil=;;;;;;;;;;;;;;;;;;;;;;
Objects_287_h;Objects;bicycle frame;%Bicycle=;%Artifact+;;;;;;;;;;;;;;;;;;;;;;;
Objects_288_h;Objects;scooter;%MotorScooter=;%White=;%Covering=;;;;;;;;;;;;;;;;;;;;;;
Objects_289_h;Objects;bicycle;%Bicycle=;%Fence=;%Roadway=;;;;;;;;;;;;;;;;;;;;;;
Objects_290_h;Objects;jet planes;%JetAirplane=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_291_h;Objects;car;%Automobile=;%Desert=;;;;;;;;;;;;;;;;;;;;;;;
Objects_292_h;Objects;bicycle;%Bicycle=;%Roadway=;;;;;;;;;;;;;;;;;;;;;;;
Objects_293_h;Objects;rusted car;%Automobile=;%ChemicalDecomposition+;%Truck=;;;;;;;;;;;;;;;;;;;;;;
Objects_294_h;Objects;bicycle;%Bicycle=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_295_h;Objects;bicycle;%Bicycle=;%Roadway=;;;;;;;;;;;;;;;;;;;;;;;
Objects_296_h;Objects;car;%Automobile=;%Roadway=;;;;;;;;;;;;;;;;;;;;;;;
Objects_297_h;Objects;scooter;%MotorScooter=;%Blue+;;;;;;;;;;;;;;;;;;;;;;;
Objects_298_h;Objects;car;%Automobile=;%TransportationDevice+;%part+;;;;;;;;;;;;;;;;;;;;;;
Objects_299_h;Objects;bicycle;%Bicycle=;%Fence=;%Roadway=;;;;;;;;;;;;;;;;;;;;;;
Objects_300_h;Objects;jet planes;%JetAirplane=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_301_h;Objects;jet planes;%JetAirplane=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_302_h;Objects;bicycle;%Bicycle=;%Roadway=;;;;;;;;;;;;;;;;;;;;;;;
Objects_303_h;Objects;bicycle;%Bicycle=;%Yellow=;%Roadway=;;;;;;;;;;;;;;;;;;;;;;
Objects_304_h;Objects;bicycle;%Bicycle=;%Black=;%Roadway=;;;;;;;;;;;;;;;;;;;;;;
Objects_305_h;Objects;scooter;%TransportationDevice+;%Roadway=;;;;;;;;;;;;;;;;;;;;;;;
Objects_306_h;Objects;boat;%WaterVehicle=;%WaterArea=;;;;;;;;;;;;;;;;;;;;;;;
Objects_307_v;Objects;mower;%Device+;%Red=;;;;;;;;;;;;;;;;;;;;;;;
Objects_308_h;Objects;car;%Automobile=;%Black=;%Roadway=;;;;;;;;;;;;;;;;;;;;;;
Objects_309_h;Objects;motorcycle;%Motorcycle=;%Roadway=;;;;;;;;;;;;;;;;;;;;;;;
Objects_310_h;Objects;car;%Automobile=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_311_h;Objects;bus;%PassengerVehicle+;%White=;;;;;;;;;;;;;;;;;;;;;;;
Objects_312_h;Objects;car;%Automobile=;;;;;;;;;;;;;;;;;;;;;;;;
Objects_313_h;Objects;car;%Automobile=;%TransportationDevice+;%Green=;;;;;;;;;;;;;;;;;;;;;;
Objects_314_h;Objects;car;%Automobile=;%Automobile+;;;;;;;;;;;;;;;;;;;;;;;
Objects_315_h;Objects;trains;%Train=;%Locomotive=;;;;;;;;;;;;;;;;;;;;;;;
Objects_316_h;Objects;bicycle;%Bicycle=;%Roadway=;;;;;;;;;;;;;;;;;;;;;;;
Objects_317_h;Objects;helicopter;%Helicopter=;%SlopedArea+;;;;;;;;;;;;;;;;;;;;;;;
Objects_318_h;Objects;car;%Automobile=;%Damaging=;%Red=;;;;;;;;;;;;;;;;;;;;;;
Objects_319_h;Objects;bicycle;%Bicycle=;%Red=;%Radiating+;;;;;;;;;;;;;;;;;;;;;;
Objects_320_h;Objects;car;%Automobile=;%Red=;;;;;;;;;;;;;;;;;;;;;;;
Objects_321_h;Objects;car;%Automobile=;%Pink+;;;;;;;;;;;;;;;;;;;;;;;
Objects_322_h;Objects;car;%Automobile=;%White=;;;;;;;;;;;;;;;;;;;;;;;
Objects_323_h;Objects;car;%Automobile=;%Inside=;%Automobile+;;;;;;;;;;;;;;;;;;;;;;
Objects_324_h;Objects;ship;%WaterVehicle=;%Sea=;;;;;;;;;;;;;;;;;;;;;;;
Objects_325_h;Objects;cars;%Automobile=;%ParkingLot=;;;;;;;;;;;;;;;;;;;;;;;
Objects_326_h;Objects;sailboat;%Sailboat=;%Sea=;;;;;;;;;;;;;;;;;;;;;;;
Objects_327_h;Objects;boats;%WaterVehicle=;%Seacoast=;;;;;;;;;;;;;;;;;;;;;;;
Objects_328_h;Objects;pig;%Pig=;%Pork=;%Baking+;%CookedAttribute+;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
